	.word	-3600,-14511,-13403,-895,-9867,-3539,7881,-915,-5536,6828
	.word	-12008,-10151,-2713,-5783,11481,10215,-8071,-2830,3260,12752
	.word	-4281,-902,-4417,2750,-6324,-1228,-6848,-4384,-4086,-1716
	.word	12480,-15690,5871,-5277,-8247,-15692,-5038,12294,3103,-3282
	.word	6308,-58,-5505,3021,-4488,-13705,-5695,8226,16155,-15189
	.word	-10872,-1583,-9860,14515,12514,-2735,-5642,-6266,-13373,13640
	.word	14823,-15899,-4344,5569,-7540,11216,10031,-9915,-4075,-14220
	.word	-8906,15397,-2101,-7099,5538,-2942,8166,-10519,14117,12165
	.word	-5974,13137,15031,4285,1240,9882,6557,-10538,6504,12052
	.word	2063,-16251,14744,-8837,418,-10737,5652,13994,9694,-15268
